id,citekey,title,authors,year,month,journal,book_title,publisher,institution,volume,number,pages,note,keywords,url,code,pdf,image,thumbnail,doi,external,abstract,isbn,type_id
70.0,,A Test Case Generation Scheduling Model Based on Running Event Interval Characteristics,Y. Li; T. Qin; J. Zou; H. Li; C. -B. Yan; X. Guan,2024,,IEEE Transactions on Automation Science and Engineering,,IEEE,"MOE KLINNS Laboratory, Xi’an Jiaotong University, Xi’an, China; MOE KLINNS Laboratory, Xi’an Jiaotong University, Xi’an, China; MOE KLINNS Laboratory, Xi’an Jiaotong University, Xi’an, China; MOE KLINNS Laboratory, Xi’an Jiaotong University, Xi’an, China; Faculty of Electronic and Information Engineering, State Key Laboratory for Manufacturing Systems Engineering and the School of Automation Science and Engineering, Xi’an Jiaotong University, Xi’an, Shaanxi, China; MOE KLINNS Laboratory, Xi’an Jiaotong University, Xi’an, China",0,0,,,Testing;Fuzzing;Computer bugs;Schedules;Stability analysis;Research and development;Recording;Real-time systems;Mathematical models;Load modeling,,https://github.com/yizhenli-xjtu/CECAR,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10816224,,,10.1109/TASE.2024.3520311,False,"System testing mainly focuses on finding bugs before online deployment. However, the system’s complexity increases due to a surge in the number of users, which makes scheduling the test case generation time more difficult, impeding testing fidelity and automatic testing. In this paper, we propose a data-driven framework for scheduling the test cases and improving testing fidelity. The developed framework involves two stages: 1) mining the running event interval characteristics from logs obtained from the actual environment in the first stage, and 2) utilizing those characteristics to develop a model for the test case generation time schedule in the second stage. First, we select the running event interval, which is the interval between two adjacent running events processed by the system, as the feature for analysis. Then, we analyze the interval’s distribution characteristics, observing that it adheres to the power-law distribution from multiple aspects. Second, based on the distribution characteristics obtained, we develop a composite event chain with associated relationships (CECAR) model to schedule test case generation time. Finally, we conduct a series of experiments using logs obtained from eight regions. The results show that, compared to baseline methods, the CECAR model reduces average errors in the generated quantity, power exponent, and specific granularity intervals by approximately 1% to 9% across multiple layers, demonstrating the effectiveness of the proposed method. We also made our dataset and code publicly available at https://github.com/yizhenli-xjtu/CECAR. Note to Practitioners—System testing is a promising way to eliminate bugs and improve system stability before online deployment. If the testing method does not align with the system’s running characteristics in the actual environment, the testing fidelity and efficiency may be greatly reduced. Scheduling the test case generation time is one of the fundamental ways to address this challenge. The CECAR model developed in this paper can reproduce temporal characteristics and incorporate the concurrent relationships between different events, in turn, achieving the goal of fidelity improvement. Furthermore, based on the CECAR model, we can simulate arbitrary scenarios by combining different types of devices, which can greatly improve the testing’s flexibility and practicality.",,1
71.0,,Knowledge-Informed Machine Learning for Cancer Diagnosis and Prognosis: A Review,L. Mao; H. Wang; L. S. Hu; N. L. Tran; P. D. Canoll; K. R. Swanson; J. Li,2024,,IEEE Transactions on Automation Science and Engineering,,IEEE,"H. Milton Stewart School of Industrial and Systems Engineering, Georgia Institute of Technology, Atlanta, GA, USA; H. Milton Stewart School of Industrial and Systems Engineering, Georgia Institute of Technology, Atlanta, GA, USA; Department of Neurosurgery, Department of Radiology and the Mathematical Neuro-Oncology Laboratory, Mayo Clinic Arizona, Phoenix, AZ, USA; Department of Cancer Biology, the Department of Neurosurgery, and the Department of Radiation Oncology, Mayo Clinic Arizona, Phoenix, AZ, USA; Department of Pathology and Cell Biology, Columbia University Medical Center, New York, NY, USA; Department of Neurosurgery, Mathematical Neuro-Oncology Laboratory, Mayo Clinic Arizona, Phoenix, AZ, USA; H. Milton Stewart School of Industrial and Systems Engineering, Georgia Institute of Technology, Atlanta, GA, USA",0,0,,,Cancer;Tumors;Reviews;Biological system modeling;Medical diagnostic imaging;Prognostics and health management;Machine learning;Imaging;Automation;Medical services,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10806835,,,10.1109/TASE.2024.3515839,False,"Cancer remains one of the most challenging diseases to treat in the medical field. Machine learning (ML) has enabled in-depth analysis of complex patterns from large, diverse datasets, greatly facilitating “healthcare automation” in cancer diagnosis and prognosis. Despite these advancements, ML models face challenges stemming from limited labeled sample sizes, the intricate interplay of high-dimensionality data types, the inherent heterogeneity observed among patients and within tumors, and concerns about interpretability and consistency with existing biomedical knowledge. One approach to address these challenges is to integrate biomedical knowledge into data-driven models, which has proven potential to improve the accuracy, robustness, and interpretability of model results. Here, we review the state-of-the-art ML studies that leverage the fusion of biomedical knowledge and data, termed knowledge-informed machine learning (KIML), to advance cancer diagnosis and prognosis. We provide an overview of diverse forms of knowledge representation and current strategies of knowledge integration into machine learning pipelines with concrete examples. We conclude the review article by discussing future directions aimed at leveraging KIML to advance cancer research and healthcare automation. A live summary of the review is hosted at https://lingchm.github.io/kinformed-machine-learning-cancer/ offering an evolving resource to support research in this field. Note to Practitioners—Recognizing the challenges posed by inter-patient and intratumoral heterogeneity, constrained sample size, and interpretability requirements in cancer applications, practitioners should consider integration of existing biomedical knowledge into their modeling frameworks. This strategy holds promise for enhancing model performance, robustness, and interpretability. We review classic machine learning and deep learning models that incorporated domain knowledge in their cancer diagnosis and prognosis models spanning models that use clinical, imaging, molecular, and treatment data. Pros and cons of each integration approach are discussed. Key design questions such as which knowledge to leverage, how to represent it effectively, and how to seamlessly integrate it into their models need be examined for each case. Collaboration between modeling scientists and medical experts is essential in this endeavor.",,1
72.0,,Trajectory Progress-Based Prioritizing and Intrinsic Reward Mechanism for Robust Training of Robotic Manipulations,W. Liang; Y. Liu; J. Wang; Z. -X. Yang,2024,,IEEE Transactions on Automation Science and Engineering,,IEEE,"State Key Laboratory of Internet of Things for Smart City and Department of Electromechanical Engineering, University of Macau, Macau, China; State Key Laboratory of Internet of Things for Smart City and Department of Electromechanical Engineering, University of Macau, Macau, China; State Key Laboratory of Internet of Things for Smart City and Department of Electromechanical Engineering, University of Macau, Macau, China; State Key Laboratory of Internet of Things for Smart City and Department of Electromechanical Engineering, University of Macau, Macau, China",0,0,,,Robots;Training;Trajectory;Service robots;Space exploration;Deep reinforcement learning;Psychology;Data models;Smart manufacturing;Programming,,https://github.com/weixiang-smart/P-HER,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10792658,,,10.1109/TASE.2024.3513354,False,"Training robots by model-free deep reinforcement learning (DRL) to carry out robotic manipulation tasks without sufficient successful experiences is challenging. Hindsight experience replay (HER) is introduced to enable DRL agents to learn from failure experiences. However, the HER-enabled model-free DRL still suffers from limited training performance due to its uniform sampling strategy and scarcity of reward information in the task environment. Inspired by the progress incentive mechanism in human psychology, we propose Progress Intrinsic Motivation-based HER (P-HER) in this work to overcome these difficulties. First, the Trajectory Progress-based Prioritized Experience Replay (TPPER) module is developed to prioritize sampling valuable trajectory data thereby achieving more efficient training. Second, the Progress Intrinsic Reward (PIR) module is introduced in agent training to add extra intrinsic rewards for encouraging the agents throughout the exploration of task space. Experiments in challenging robotic manipulation tasks demonstrate that our P-HER method outperforms original HER and state-of-the-art HER-based methods in training performance. Our code of P-HER and its experimental videos in both virtual and real environments are available at https://github.com/weixiang-smart/P-HER. Note to Practitioners—This work is motivated to develop a fast and effective learning method for intelligent robotic manipulation of typical industrial tasks, including pushing, picking, and placing workpieces, which are essential and fundamental processing plan activities for accomplishing robotic machining and assembly applications towards smart manufacturing. The introduction of reinforcement learning enables robots to learn manipulation tasks autonomously, which can save the effort for engineers to teach or hard program the robot and also reduce labor costs. However, the existing HER-based reinforcement learning algorithms are with low training efficiency and performance due to the uniform sampling and scant task reward. Inspired by human learning, this work introduces a progress incentive mechanism to identify valuable trajectory data for effective training. In addition, a novel rewarding method, that applies additional intrinsic rewards for agents learning valuable trajectory space, results in fast and robust learning. The setting of important weight parameters in the rewarding method is given in the paper, which provides a practical reference for applying the proposed algorithm. The average success rate of two actual manipulation tasks in simulation and real robotic manipulation environments are 96% and 92.5%, respectively, which demonstrates that the method is effective for both environments and there is 3.5% average gap of successful rate dropping from simulation scenarios to real ones due to the inherent mismatches between simulation and reality. The high success rate demonstrated in the real Workpieces-sorting task exemplifies the potential of the trained policies for application in industrial scenarios.",,1
73.0,,"Listen, Perceive, Grasp: CLIP-Driven Attribute-Aware Network for Language-Conditioned Visual Segmentation and Grasping",J. Xie; J. Liu; S. Huang; C. Wang; F. Zhou,2024,,IEEE Transactions on Automation Science and Engineering,,IEEE,"School of Control Science and Engineering, Shandong University, Jinan, China; School of Control Science and Engineering, Shandong University, Jinan, China; School of Control Science and Engineering, Shandong University, Jinan, China; School of Control Science and Engineering, Shandong University, Jinan, China; School of Control Science and Engineering, Shandong University, Jinan, China",0,0,,,Grasping;Visualization;Robots;Shape;Feature extraction;Cognition;Correlation;Linguistics;Transformers;Semantics,,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10786319,,,10.1109/TASE.2024.3510777,False,"Endowing robots with the ability to understand natural language and execute grasping is a challenging task in a human-centric environment. Existing works on language-conditioned grasping achieve end-to-end grasping detection based on language. However, these works lack fine-grained visual grounding, resulting in cognitive deficits for robots. Moreover, they ignore the correlation between visual attributes of objects and grasping, leading to coarse grasp poses. To this end, we propose a CLIP-driven aTtribute-aware network (CTNet) for language-conditioned visual segmentation and grasping, enabling the robots to listen, perceive, and grasp the referred object in real-world applications. Specifically, we first employ Listen stage to understand basic linguistic and visual concepts. Subsequently, we introduce Perceive stage to mine multi-modal features and visual attribute cues (e.g., boundary and spatial location), then yield a language-conditioned segmentation mask. Further, we design Grasp stage to aggregate the perceived attribute information and refine the spatial location and grasping rectangle, generating a high-quality grasp pose. Lastly, we provide an extended large dataset Ref-OCID-Grasp to train and test our method, achieving a grasping accuracy of 97.76% and segmentation OIoU of 91.82%. The real-world robotic applications demonstrate the effectiveness of our proposed approach. The project, video, and dataset can be found at https://ctnetgrasp.github.io. Note to Practitioners—Most of the existing grasping methods focus on clearing all objects in the workspace. However, as robots integrate into human society, robots should learn to grasp the desired object by understanding human language. Therefore, language-conditioned grasping is a significant skill for human-robot collaboration. The prior works directly complete the grasp detection through the language-grasp paradigm, but they ignore the discussion on whether the robot understands the concept of vision and language expression of the object. Therefore, this paper proposed the Listen-Perceive-Grasp paradigm, in which the Listen-Perceive stage is responsible for the conception alignment of the object in language expression and visual pixels, and the Perceive-Grasp stage achieves the constraining and refining the grasp detection by the perceived visual attributes such as boundary and shape. Experiments show that this method can obtain a refiner grasp pose in cluttered environments and perform language-conditioned grasping well in the real world. In future research, we will work on 6-DoF grasping and multi-object disambiguation conditioned on language.",,1
74.0,,Multimodal Fish Feeding Intensity Assessment in Aquaculture,M. Cui; X. Liu; H. Liu; Z. Du; T. Chen; G. Lian; D. Li; W. Wang,2024,,IEEE Transactions on Automation Science and Engineering,,IEEE,"Centre for Vision, Speech and Signal Processing (CVSSP), University of Surrey, Guildford, U.K.; Centre for Vision, Speech and Signal Processing (CVSSP), University of Surrey, Guildford, U.K.; Centre for Vision, Speech and Signal Processing (CVSSP), University of Surrey, Guildford, U.K.; National Innovation Center for Digital Fishery, China Agricultural University, Beijing, China; Department of Chemical and Process Engineering, University of Surrey, Guilford, U.K.; Department of Chemical and Process Engineering, University of Surrey, Guilford, U.K.; National Innovation Center for Digital Fishery, China Agricultural University, Beijing, China; Centre for Vision, Speech and Signal Processing (CVSSP), University of Surrey, Guildford, U.K.",0,0,,,Computational modeling;Fish;Aquaculture;Visualization;Transformers;Noise;Computational efficiency;Robustness;Benchmark testing;Scholarships,,https://github.com/FishMaster93/U-FFIA,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10781433,,,10.1109/TASE.2024.3507098,False,"Fish feeding intensity assessment (FFIA) aims to evaluate fish appetite changes during feeding, which is crucial in industrial aquaculture applications. Existing FFIA methods are limited by their robustness to noise, computational complexity, and the lack of public datasets for developing the models. To address these issues, we first introduce AV-FFIA, a new dataset containing 27,000 labeled audio and video clips that capture different levels of fish feeding intensity. Then, we introduce multi-modal approaches for FFIA by leveraging the models pre-trained on individual modalities and fused with data fusion methods. We perform benchmark studies of these methods on AV-FFIA, and demonstrate the advantages of the multi-modal approach over the single-modality based approach, especially in noisy environments. However, compared to the methods developed for individual modalities, the multimodal approaches may involve higher computational costs due to the need for independent encoders for each modality. To overcome this issue, we further present a novel unified mixed-modality based method for FFIA, termed as U-FFIA. U-FFIA is a single model capable of processing audio, visual, or audio-visual modalities, by leveraging modality dropout during training and knowledge distillation using the models pre-trained with data from single modality. We demonstrate that U-FFIA can achieve performance better than or on par with the state-of-the-art modality-specific FFIA models, with significantly lower computational overhead, enabling robust and efficient FFIA for improved aquaculture management. To encourage further research, we have released the AV-FFIA dataset, the pre-trained model and codes at https://github.com/FishMaster93/U-FFIA. Note to Practitioners—Feeding is one of the most important costs in aquaculture. However, current feeding machines usually operate with fixed thresholds or human experiences, lacking the ability to automatically adjust to fish feeding intensity. FFIA can evaluate the intensity changes in fish appetite during the feeding process and optimize the control strategies of the feeding machine to avoid inadequate feeding or overfeeding, thereby reducing the feeding cost and improving the well-being of fish in industrial aquaculture. The existing methods have mainly exploited single-modality data, and have a high sensitivity to input noise. Using video and audio offers improved chances to address the challenges brought by various environments. However, compared with processing data from single modalities, using multiple modalities simultaneously often involves increased computational resources, including memory, processing power, and storage. This can impact system performance and scalability. To address these issues, we focus on the efficient unified model, which is capable of processing both multimodal and single-modal input. Our proposed model achieved state-of-the-art (SOTA) performance in FFIA with high computational efficiency.",,1
75.0,,Transmission Line Detection Through Auxiliary Feature Registration With Knowledge Distillation,Y. Wang; W. Zhou; X. Qian,2024,,IEEE Transactions on Automation Science and Engineering,,IEEE,"School of Information and Electronic Engineering, Zhejiang University of Science and Technology, Hangzhou, China; School of Information and Electronic Engineering, Zhejiang University of Science and Technology, Hangzhou, China; School of Information and Electronic Engineering, Zhejiang University of Science and Technology, Hangzhou, China",0,0,,,Performance evaluation;Computational modeling;Power transmission lines;Feature extraction;Decoding;Semantics;Mobile handsets;Knowledge engineering;Training;Drones,,https://github.com/WangYuSenn/AFRNet,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10778059,,,10.1109/TASE.2024.3506617,False,"The periodic inspection of transmission lines ensures a stable power supply across various regions. Deep learning methods, particularly those based on multimodal approaches, have made significant advancements in this field. Current multimodal fusion algorithms do not prioritize the integration of supplementary information from other modal sources. Moreover, these methods frequently depend on substantial parameterization to achieve optimal performance, severely hampering deployment on mobile devices. To enhance the supportive role of the auxiliary modality and minimize model parameters, we proposed the knowledge distillation-based auxiliary feature registration network (AFRNet-S $^\ast)$  for RGB-T transmission line detection (TLD). The method incorporates an auxiliary feature registration module during fusion, utilizing unique complementarity between primary and auxiliary feature modalities for precise feature registration. For knowledge distillation, we devised response-mimicking distillation, semantic supplementary distillation, and cross-view feature polymerization distillation tailored for the student network (AFRNet-S, without knowledge distillation) to achieve model compression. AFRNet-S can learn comprehensive final spatial, precise semantic, and complementary feature integration information from AFRNet-T through these distillation methods. Extensive experiments conducted on an industrial TLD dataset demonstrate that the proposed AFRNet-S $^\ast$  (AFRNet-S with knowledge distillation) outperforms the existing state-of-the-art methods, thereby demonstrating its generality and effectiveness. Our AFRNet-S $^\ast$ , compared to AFRNet-T, has a reduced parameter count from 44.92M to 16.86M and a decrease in FLOPs from 21.13G to 6.41G. This further optimizes the deployment of our network on edge devices, such as unmanned aerial vehicles (drones), in the future. The code and results of our approach are available at https://github.com/WangYuSenn/AFRNet. Note to Practitioners—This study introduces the AFRNet for TLD, utilizing knowledge distillation (KD) techniques. We achieved a better balance between model performance and parameter count by integrating the KD task into the TLD task, facilitating easier deployment on mobile devices. The proposed AFRNet-S $^\ast$  effectively balances model performance and parameter count, ensuring efficient performance of the TLD task. Addressing RGB-T TLD-specific challenges remains a crucial area for future research. For instance, in scenarios where a target occupies a small area within an image, removing excessive background noise is essential to enhance the efficiency of target localization. Furthermore, we aim to utilize AFRNet-S $^\ast$  on drones for transmission line inspection in the future to address practical application challenges.",,1
76.0,,LeTO: Learning Constrained Visuomotor Policy With Differentiable Trajectory Optimization,Z. Xu; Y. She,2024,,IEEE Transactions on Automation Science and Engineering,,IEEE,"Edwardson School of Industrial Engineering, Purdue University, West Lafayette, IN, USA; Edwardson School of Industrial Engineering, Purdue University, West Lafayette, IN, USA",0,0,,,Robots;Imitation learning;Trajectory optimization;Safety;Training;Recurrent neural networks;Uncertainty;Supervised learning;Robot learning;Real-time systems,,https://github.com/ZhengtongXu/LeTO,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10740461,,,10.1109/TASE.2024.3486542,False,"This paper introduces LeTO, a method for learning constrained visuomotor policy with differentiable trajectory optimization. Our approach integrates a differentiable optimization layer into the neural network. By formulating the optimization layer as a trajectory optimization problem, we enable the model to end-to-end generate actions in a safe and constraint-controlled fashion without extra modules. Our method allows for the introduction of constraint information during the training process, thereby balancing the training objectives of satisfying constraints, smoothing the trajectories, and minimizing errors with demonstrations. This “gray box” method marries optimization-based safety and interpretability with powerful representational abilities of neural networks. We quantitatively evaluate LeTO in simulation and in the real robot. The results demonstrate that LeTO performs well in both simulated and real-world tasks. In addition, it is capable of generating trajectories that are less uncertain, higher quality, and smoother compared to existing imitation learning methods. Therefore, it is shown that LeTO provides a practical example of how to achieve the integration of neural networks with trajectory optimization. We release our code at https://github.com/ZhengtongXu/LeTO. Note to Practitioners—LeTO is driven by the goal of developing an imitation learning algorithm capable of generating safe and constraint-satisfying robotic behaviors. The idea of imitation learning is to enable the robot to learn from human demonstrations of certain tasks. Subsequently, the robot is able to autonomously perform the learned tasks on its own. Thanks to the powerful representational and fitting capabilities of neural networks, imitation learning can let robots perform complex manipulation tasks. However, neural networks often exhibit a certain level of uncertainty and lack theoretical safety guarantees. For robotic systems, it is crucial that robot behaviors meet specific constraints; otherwise, the system may not be sufficiently reliable. Therefore, we introduce LeTO, an approach that integrates trajectory optimization with neural networks to generate actions that not only achieve manipulation tasks, but also comply with constraints. This improves the interpretability, safety, and reliability of robot policies acquired through imitation learning, facilitating their deployment in scenarios with high safety requirements.",,1
77.0,,Dynamic Subclass-Balancing Contrastive Learning for Long-Tail Pedestrian Trajectory Prediction With Progressive Refinement,B. Yang; K. Yan; C. Hu; H. Hu; Z. Yu; R. Ni,2024,,IEEE Transactions on Automation Science and Engineering,,IEEE,"School of Microelectronics and Control Engineering, Changzhou University, Changzhou, China; School of Microelectronics and Control Engineering, Changzhou University, Changzhou, China; School of Mechanical Engineering, Shanghai Jiao Tong University, Shanghai, China; State Key Laboratory of Automotive Simulation and Control, Changchun, China; School of Microelectronics and Control Engineering, Changzhou University, Changzhou, China; School of Microelectronics and Control Engineering, Changzhou University, Changzhou, China",0,0,,,Trajectory;Pedestrians;Tail;Contrastive learning;Predictive models;Accuracy;Dynamics;Adaptation models;Decoding;Training,,https://github.com/YanCCZU/DSBCL-PRM,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10740479,,,10.1109/TASE.2024.3487255,False,"Pedestrian trajectory prediction is critical for understanding human behavior. The prevailing approaches employ neural networks to predict trajectories from large amounts of trajectory data. However, pedestrian trajectory data exhibits a long-tail distribution, which presents challenges in accurately predicting the future trajectories of tail samples. Previous research utilized contrastive learning and loss reweighting to tackle the long-tail distribution challenge in trajectory prediction. Although this approach enhanced the tail samples’ performance, it reduced the head samples’ performance. In order to address this limitation, we propose a trajectory prediction framework based on dynamic subclass-balancing contrastive learning in this work. Firstly, we obtain general motion patterns by clustering future trajectory data. We use the adaptive motion pattern refinement block to refine the general motion patterns, providing accurate guidance for the model and thus facilitating the recognition of tail motion patterns. Subsequently, we propose dynamic subclass-balancing contrastive learning to address the long-tail distribution issue of trajectory data on the encoder, which includes subclass-balancing clustering and dynamic dual-level contrastive learning. Subclass-balancing clustering is employed on the head trajectory data to achieve subclass balance across the dataset. Afterward, we perform dynamic dual-level contrastive learning for motion features to achieve instance balance and optimize the feature space. Finally, we use enhanced motion features to adjust the predicted trajectories through the trajectory proposal refinement block, achieving progressive refinement. This addresses the long-tail distribution issue of trajectory data on the decoder and improves the model’s generalization capability. Experimental results demonstrate that our method outperforms state-of-the-art long-tail trajectory prediction methods in addressing the long-tail distribution issue, improving the performance on both head and tail samples. The code will be released at https://github.com/YanCCZU/DSBCL-PRM. Note to Practitioners—This work aims to tackle the long-tail distribution issue of pedestrian trajectory prediction while improving the model’s generalization capability. Existing methods mitigate the impact of the long-tail distribution issue on the encoder using contrastive learning. However, their overemphasis on the tail samples through loss reweighting has reduced the head samples’ performance. This work proposes a dynamic subclass-balancing contrastive learning module, which classifies head samples into several subclasses, each with a similar sample number in the tail classes. It performs dynamic dual-level contrastive learning based on class and subclass labels to achieve subclass and instance balance, improving the performance in head and tail samples. We utilize general motion patterns from the training set to guide the prediction of future trajectories. Moreover, we propose a progressive refinement strategy consisting of two refinement blocks to mitigate the impact of the long-tail distribution issue on the decoder and improve the model’s generalization performance. First, we adaptively refine motion patterns based on the difference between observed trajectories and historical motion patterns to provide accurate guidance. Then, we adjust the original predicted trajectories using the enhanced motion features, mitigating the impact of the long-tail distribution issue on the decoder while improving the model’s generalization and adaptability in unknown scenes. Our method’s simplified and effective model design ensures excellent real-time performance. Consequently, it is well-suited for deployment of edge devices in areas such as autonomous driving, intelligent surveillance, and social robotics. The proposed method enables accurate prediction of infrequent future trajectories in various scenarios, thus supporting safer decision-making.",,1
